,ch-free,chi-inuse,imp(%),osg-inuse
2021-07-16 15:23:57.353949+00:00,273,1,0.0,0
2021-07-16 15:23:57.548339+00:00,273,1,0.0,0
2021-07-16 15:23:57.648447+00:00,273,1,0.0,0
2021-07-16 15:23:57.750322+00:00,273,1,0.0,0
2021-07-16 15:23:57.846605+00:00,273,1,0.0,0
2021-07-16 15:23:57.941602+00:00,273,1,0.0,0
2021-07-16 15:23:58.041610+00:00,273,1,0.0,0
2021-07-16 15:23:58.133296+00:00,273,1,0.0,0
2021-07-16 15:23:58.230488+00:00,273,1,0.0,0
2021-07-16 15:23:58.326143+00:00,273,1,0.0,0
2021-07-16 15:23:58.437041+00:00,273,1,0.0,0
2021-07-16 15:23:58.533112+00:00,273,1,0.0,0
2021-07-16 15:23:58.642704+00:00,272,2,0.0,0
2021-07-16 15:23:58.742785+00:00,272,2,0.0,0
2021-07-16 15:23:58.828916+00:00,273,1,0.0,0
2021-07-16 15:23:58.967116+00:00,273,1,0.0,0
2021-07-16 15:23:59.062844+00:00,273,1,0.0,0
2021-07-16 15:23:59.166840+00:00,273,1,0.0,0
2021-07-16 15:23:59.214253+00:00,272,1,0.36496350364963503,1
2021-07-16 15:23:59.260454+00:00,272,1,0.36496350364963503,1
2021-07-16 15:23:59.383351+00:00,272,1,0.36496350364963503,1
2021-07-16 15:23:59.479223+00:00,272,1,0.36496350364963503,1
2021-07-16 15:23:59.581209+00:00,272,1,0.36496350364963503,1
2021-07-16 15:23:59.664231+00:00,271,1,0.7299270072992701,2
2021-07-16 15:23:59.698336+00:00,269,3,0.7299270072992701,2
2021-07-16 15:23:59.818233+00:00,271,1,0.7299270072992701,2
2021-07-16 15:23:59.935886+00:00,271,1,0.7299270072992701,2
2021-07-16 15:24:00.063062+00:00,271,1,0.7299270072992701,2
2021-07-16 15:24:00.184785+00:00,271,1,0.7299270072992701,2
2021-07-16 15:24:00.318286+00:00,270,2,0.7299270072992701,2
2021-07-16 15:24:00.403766+00:00,271,1,0.7299270072992701,2
2021-07-16 15:24:00.514648+00:00,271,1,0.7299270072992701,2
2021-07-16 15:24:00.629876+00:00,270,2,0.7299270072992701,2
2021-07-16 15:24:00.749316+00:00,271,1,0.7299270072992701,2
2021-07-16 15:24:00.873281+00:00,271,1,0.7299270072992701,2
2021-07-16 15:24:00.986962+00:00,271,1,0.7299270072992701,2
2021-07-16 15:24:01.122757+00:00,271,1,0.7299270072992701,2
2021-07-16 15:24:01.192444+00:00,270,1,1.094890510948905,3
