node_cnt
13
14
14
14
14
13
13
13
13
13
14
15
16
16
15
14
13
11
10
9
9
10
11
12
14
15
15
15
14
14
13
14
14
16
17
17
17
16
14
13
12
14
18
26
35
46
54
59
61
61
58
53
44
32
23
18
16
16
17
19
20
20
19
16
14
12
12
15
20
26
32
38
40
40
38
33
28
25
23
24
27
33
39
45
49
51
51
50
46
40
33
26
20
16
13
12
13
15
18
22
28
32
37
39
41
42
41
41
40
39
38
36
34
30
26
21
17
12
9
7
6
7
9
14
20
25
30
33
34
32
28
24
20
16
14
13
14
16
18
19
19
19
17
15
13
11
11
12
13
16
19
21
22
23
23
22
21
20
18
16
15
13
11
10
11
12
15
20
24
28
31
31
29
24
19
14
10
9
10
15
22
29
36
40
40
38
33
26
21
16
15
16
19
22
26
29
30
29
25
21
16
12
9
8
8
9
12
14
16
17
17
15
13
11
10
9
10
12
15
19
23
25
27
28
27
26
25
24
24
25
26
27
28
28
26
23
20
16
14
12
11
12
14
16
18
18
18
17
15
14
14
14
15
16
16
16
14
12
10
8
8
10
15
21
27
32
35
35
31
25
18
12
9
9
13
22
32
43
50
54
53
49
41
30
19
11
7
6
6
9
13
18
23
26
27
26
24
20
17
14
12
13
16
21
28
37
45
50
52
51
48
40
29
20
13
9
8
11
17
24
32
37
39
37
31
25
18
13
11
12
16
22
29
35
40
42
41
37
31
25
19
14
11
9
9
10
12
15
17
19
19
19
18
16
14
12
10
10
11
13
17
21
24
27
28
27
25
22
18
14
12
10
10
11
14
17
20
22
23
22
21
19
17
15
14
13
13
14
15
16
16
16
15
15
15
16
17
19
20
21
21
20
19
17
16
15
15
16
17
18
18
18
17
15
13
12
12
13
14
17
19
20
20
18
17
14
12
11
11
13
15
18
21
23
23
23
22
20
18
16
15
14
14
15
18
20
23
26
28
30
30
28
26
23
20
17
15
14
14
15
16
16
16
16
15
15
16
17
18
19
20
20
19
18
16
15
14
15
16
19
21
21
20
18
15
12
9
8
7
8
9
11
12
12
12
11
11
11
12
15
18
21
21
20
18
14
11
8
7
8
11
15
19
21
22
22
20
17
15
13
13
13
14
15
16
15
14
14
13
14
15
17
18
19
18
17
15
12
11
10
11
13
14
16
16
16
15
14
13
13
14
16
18
19
18
17
14
12
11
10
11
13
16
17
16
14
11
8
6
6
7
10
16
21
23
22
19
14
9
7
7
11
21
32
43
51
54
52
47
37
26
17
11
9
9
11
14
16
17
17
17
18
19
22
26
29
33
34
34
32
28
24
20
17
15
14
14
14
13
13
12
12
12
13
15
18
20
21
22
21
19
16
14
12
11
12
14
17
21
24
27
30
31
31
30
27
24
21
17
15
13
13
13
14
15
17
18
18
19
19
19
19
19
19
19
18
17
16
16
16
17
19
21
23
23
22
20
17
14
12
11
13
17
22
27
31
33
31
27
22
16
11
9
9
10
14
18
20
21
20
18
15
13
12
12
13
15
16
17
17
16
16
16
17
21
25
29
34
36
37
35
32
27
24
22
21
21
23
25
26
27
26
24
22
19
16
14
13
13
13
14
14
14
13
13
13
12
13
14
16
18
20
22
23
24
24
24
22
21
19
17
16
15
15
16
17
19
21
23
24
25
25
25
23
22
20
18
16
15
14
14
15
15
15
15
14
13
12
11
10
10
10
11
12
14
15
16
16
16
16
16
17
17
18
18
18
17
16
15
13
13
13
15
17
20
21
22
22
22
20
19
18
19
21
23
26
28
29
29
27
25
22
20
17
16
15
15
14
14
13
12
12
13
14
15
16
17
17
16
15
14
13
14
16
20
23
26
27
26
24
21
17
15
15
19
24
31
38
43
46
46
42
35
27
20
15
11
10
12
15
18
22
25
27
27
25
22
18
14
11
10
10
13
18
23
28
31
31
28
22
16
11
8
8
14
24
36
47
54
57
56
50
40
28
18
11
9
11
16
21
26
30
30
28
23
18
13
10
9
10
12
16
19
22
25
26
27
27
26
24
21
19
16
14
13
13
14
16
18
19
19
19
17
16
14
13
13
14
17
19
21
22
22
21
20
18
18
18
18
19
20
19
18
16
14
13
12
14
17
22
26
30
32
32
30
26
22
19
16
15
15
16
18
18
18
17
15
13
11
11
12
14
18
21
24
25
24
22
19
15
12
9
9
10
13
18
23
29
34
37
37
36
32
27
22
17
13
10
10
11
13
17
19
21
22
22
20
18
15
13
12
12
13
14
15
16
16
16
15
15
15
15
16
18
19
20
20
19
18
16
14
13
13
13
14
14
14
13
11
9
7
6
6
7
10
15
20
24
25
24
22
18
15
12
11
12
15
19
22
24
25
24
21
18
14
11
9
8
9
9
10
11
12
13
14
16
18
20
22
23
23
23
22
21
21
22
23
25
26
27
28
27
25
23
21
20
20
20
22
23
23
23
22
20
19
17
17
18
20
23
26
29
31
31
29
27
24
21
18
16
14
13
13
13
14
14
15
16
18
19
21
23
24
25
26
26
26
25
24
22
20
18
17
17
17
19
21
23
24
25
24
22
20
18
16
16
18
21
25
29
32
34
33
31
28
25
23
22
22
23
25
25
25
23
20
17
15
13
13
14
17
19
21
22
22
21
18
16
13
12
11
12
13
15
17
19
20
20
20
20
19
17
16
14
13
12
12
13
15
18
20
21
22
21
20
18
16
14
13
14
15
17
18
20
20
20
20
19
19
19
19
19
20
19
19
18
17
16
15
15
16
16
17
17
17
16
15
14
14
14
14
15
16
16
15
14
13
12
12
13
15
18
21
22
23
23
21
19
16
15
14
14
15
16
17
17
16
15
13
12
12
12
13
15
17
19
19
18
17
14
12
11
10
10
11
12
13
14
15
16
18
20
22
24
25
26
26
26
24
22
20
19
19
20
21
23
24
25
24
23
21
20
20
21
23
26
30
33
34
33
30
25
21
17
14
13
14
17
20
23
25
25
24
22
19
17
15
15
17
20
22
25
27
29
28
27
25
22
20
17
16
15
14
15
15
16
16
17
17
16
15
13
12
10
10
10
11
14
18
21
24
26
27
27
26
24
21
19
17
16
15
15
15
16
16
16
17
17
18
17
17
16
14
11
9
7
6
6
7
10
14
18
22
25
25
24
22
19
15
12
10
10
10
11
13
14
15
15
14
12
11
9
8
8
8
8
9
10
11
13
15
16
17
18
18
18
18
18
18
17
17
17
17
16
15
15
14
13
12
12
12
12
13
14
15
15
15
15
15
15
15
15
15
15
16
16
15
15
14
14
