EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),EVENT,PROPERTIES
2015-06-29T18:31:11,1103471.0,a8dce48285b22a44cab9c8d8ecddedd7,CREATE,"{'architecture.smp_size': '2', 'placement.rack': 5, 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}"
2018-03-14T15:39:50,86542790.0,a8dce48285b22a44cab9c8d8ecddedd7,UPDATE,"{'architecture.smp_size': '2', 'node_type': 'compute_haswell', 'placement.rack': 5, 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'main_memory.ram_size': '137438953472'}"
2015-06-26T20:51:30,852690.0,1ddb8c3643009e03a76c361dfc43d381,CREATE,"{'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64', 'placement.rack': 6, 'architecture.smt_size': '48'}"
2018-03-14T15:39:50,86542790.0,1ddb8c3643009e03a76c361dfc43d381,UPDATE,"{'main_memory.ram_size': '137438953472', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'placement.rack': 6, 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'architecture.smt_size': '48'}"
2015-07-28T14:38:33,3595113.0,0bb2d7904cb4aa9747c6054b9e0c323a,CREATE,"{'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'placement.rack': 6, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}"
2019-02-20T15:08:48,116176128.0,0bb2d7904cb4aa9747c6054b9e0c323a,UPDATE,"{'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '137438953472', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'placement.rack': 6}"
2015-07-06T19:27:39,1711659.0,182c35b71ffb9d9b35c5998477469402,CREATE,"{'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48', 'placement.rack': 0, 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016'}"
2018-03-14T15:39:50,86542790.0,182c35b71ffb9d9b35c5998477469402,UPDATE,"{'architecture.platform_type': 'x86_64', 'placement.rack': 0, 'architecture.smp_size': '2', 'node_type': 'compute_haswell_ib', 'architecture.smt_size': '48', 'main_memory.ram_size': '137438953472', 'storage_devices.0.size': '250059350016'}"
2015-06-26T20:51:42,852702.0,c7356ac4a446bb8093ba58bcc2ea396a,CREATE,"{'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'placement.rack': 5}"
2018-03-14T15:39:50,86542790.0,c7356ac4a446bb8093ba58bcc2ea396a,UPDATE,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'main_memory.ram_size': '137438953472', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'placement.rack': 5}"
2015-06-26T20:51:47,852707.0,2719b5e91a1a1067505666ccf17f5bcc,CREATE,"{'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'placement.rack': 6}"
