EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),EVENT,PROPERTIES
2020-02-28T20:08:08,148421288.0,80b58705c66686b045d0eb87f369580c,UPDATE,"{'main_memory.ram_size': '205084688384', 'placement.rack': 3, 'node_type': 'gpu_rtx_6000', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'storage_devices.0.size': '240057409536'}"
2018-06-27T13:28:03,95606883.0,234a92e3910b79f7b43028a25a11721e,CREATE,"{'node_type': 'compute_skylake', 'placement.rack': None}"
2020-02-28T20:08:08,148421288.0,234a92e3910b79f7b43028a25a11721e,UPDATE,"{'placement.rack': 3, 'storage_devices.0.size': '240057409536', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'node_type': 'gpu_rtx_6000', 'main_memory.ram_size': '205084688384'}"
2018-03-09T19:04:31,86123071.0,e93174adf06c37a63f10fef2528c6d55,CREATE,"{'placement.rack': 2, 'node_type': 'compute'}"
2020-02-28T20:08:08,148421288.0,e93174adf06c37a63f10fef2528c6d55,UPDATE,"{'architecture.platform_type': 'x86_64', 'placement.rack': 2, 'architecture.smt_size': '48', 'main_memory.ram_size': '205084688384', 'storage_devices.0.size': '240057409536', 'architecture.smp_size': '2', 'node_type': 'gpu_rtx_6000'}"
2015-06-17T22:47:46,82066.0,949907d1424dddf8fb5e3cd6647d2a42,CREATE,"{'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956814336', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'placement.rack': None}"
2015-06-17T22:48:05,82085.0,9877ba81c06fe4ce59e306f089d09448,CREATE,"{'architecture.smp_size': '2', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'placement.rack': None}"
2015-06-17T22:48:25,82105.0,6a5ebb8b531ed993f764a587faf813d2,CREATE,"{'architecture.smp_size': '2', 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'placement.rack': None}"
2018-03-09T19:03:44,86123024.0,c7657d917000cdc2a2002286247a0c7a,CREATE,"{'placement.rack': 2, 'node_type': 'compute'}"
2020-02-28T20:08:09,148421289.0,c7657d917000cdc2a2002286247a0c7a,UPDATE,"{'storage_devices.0.size': '240057409536', 'architecture.smp_size': '2', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '205084688384', 'placement.rack': 2, 'node_type': 'gpu_rtx_6000'}"
2015-06-17T22:48:43,82123.0,87b458a5c11dee878137c907de62cdf8,CREATE,"{'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'placement.rack': None}"
2018-03-09T19:04:34,86123074.0,24efded49efa36c016ff9c25c5d1c6dc,CREATE,"{'placement.rack': 2, 'node_type': 'compute'}"
2020-02-28T20:08:09,148421289.0,24efded49efa36c016ff9c25c5d1c6dc,UPDATE,"{'main_memory.ram_size': '205084688384', 'storage_devices.0.size': '240057409536', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'placement.rack': 2, 'architecture.smt_size': '48', 'node_type': 'gpu_rtx_6000'}"
2018-03-09T19:03:38,86123018.0,843f63b0a909b2a6f805751d0d8b993f,CREATE,"{'placement.rack': 2, 'node_type': 'compute'}"
2020-02-28T20:08:10,148421290.0,843f63b0a909b2a6f805751d0d8b993f,UPDATE,"{'storage_devices.0.size': '240057409536', 'architecture.smt_size': '48', 'placement.rack': 2, 'architecture.smp_size': '2', 'node_type': 'gpu_rtx_6000', 'main_memory.ram_size': '205084688384', 'architecture.platform_type': 'x86_64'}"
2018-06-27T14:12:44,95609564.0,daa98c0f94b8b0fd47ca908ee7cc01b5,CREATE,"{'node_type': 'compute_skylake', 'placement.rack': None}"
2018-08-29T15:25:13,101057113.0,daa98c0f94b8b0fd47ca908ee7cc01b5,UPDATE,"{'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '205084688384', 'architecture.smp_size': '2', 'node_type': 'compute_skylake', 'architecture.smt_size': '48', 'placement.rack': 3, 'storage_devices.0.size': '240057409536'}"
2018-03-09T19:03:55,86123035.0,5ba10ed9d9625cb803f66f2ff043a80a,CREATE,"{'node_type': 'compute', 'placement.rack': 2}"
2018-03-14T11:40:11,86528411.0,5ba10ed9d9625cb803f66f2ff043a80a,UPDATE,"{'storage_devices.0.size': '240057409536', 'main_memory.ram_size': '205084688384', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_skylake', 'architecture.smp_size': '2', 'placement.rack': 2}"
2015-06-17T22:49:02,82142.0,4a50c8db989b0743dc3f5bbd5a3154be,CREATE,"{'architecture.smp_size': '2', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': None}"
2018-06-27T14:10:32,95609432.0,8021922e49396714996e66046e25488c,CREATE,"{'node_type': 'compute_skylake', 'placement.rack': None}"
2018-08-29T15:25:14,101057114.0,8021922e49396714996e66046e25488c,UPDATE,"{'storage_devices.0.size': '240057409536', 'placement.rack': 3, 'node_type': 'compute_skylake', 'architecture.smp_size': '2', 'main_memory.ram_size': '205084688384', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48'}"
2018-06-27T14:07:07,95609227.0,5d74cd0ec89e84ddc18d3117182192bf,CREATE,"{'node_type': 'compute_skylake', 'placement.rack': None}"
2020-02-28T20:13:40,148421620.0,5d74cd0ec89e84ddc18d3117182192bf,UPDATE,"{'architecture.smp_size': '2', 'placement.rack': 3, 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'main_memory.ram_size': '205084688384', 'storage_devices.0.size': '240057409536', 'node_type': 'gpu_rtx_6000'}"
2018-06-27T14:11:50,95609510.0,c253041da3f63d8cae9aa8aa21771748,CREATE,"{'node_type': 'compute_skylake', 'placement.rack': None}"
2018-08-29T15:25:16,101057116.0,c253041da3f63d8cae9aa8aa21771748,UPDATE,"{'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_skylake', 'main_memory.ram_size': '205084688384', 'placement.rack': 3, 'architecture.smp_size': '2', 'storage_devices.0.size': '240057409536'}"
2015-06-17T22:49:21,82161.0,b809f1a55f50d240ce372da1c5912288,CREATE,"{'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'placement.rack': None}"
2018-03-09T19:04:37,86123077.0,0cb2c42824e98219fafe9f6b501ae21d,CREATE,"{'placement.rack': 2, 'node_type': 'compute'}"
2020-02-28T20:13:41,148421621.0,0cb2c42824e98219fafe9f6b501ae21d,UPDATE,"{'main_memory.ram_size': '205084688384', 'storage_devices.0.size': '240057409536', 'architecture.platform_type': 'x86_64', 'placement.rack': 2, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'node_type': 'gpu_rtx_6000'}"
2015-06-17T22:49:39,82179.0,55d9766b569a898094a4bf3e9d82da03,CREATE,"{'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'main_memory.ram_size': '134956859392', 'placement.rack': None}"
2018-03-09T19:04:27,86123067.0,6aa746a57702f412330486e7d65a1043,CREATE,"{'placement.rack': 2, 'node_type': 'compute'}"
2020-02-28T20:13:41,148421621.0,6aa746a57702f412330486e7d65a1043,UPDATE,"{'storage_devices.0.size': '240057409536', 'architecture.smt_size': '48', 'main_memory.ram_size': '205084688384', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'placement.rack': 2, 'node_type': 'gpu_rtx_6000'}"
2018-03-09T19:03:20,86123000.0,e140c9894d755443dfea635339d16b54,CREATE,"{'placement.rack': 2, 'node_type': 'compute'}"
2020-03-30T08:30:14,151057814.0,e140c9894d755443dfea635339d16b54,UPDATE,"{'placement.rack': 2, 'architecture.smp_size': '2', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'node_type': 'gpu_rtx_6000', 'storage_devices.0.size': '240057409536', 'main_memory.ram_size': '205084688384'}"
2015-06-17T22:49:58,82198.0,46ae3db581d5ab42e9ed41fc641dc4d9,CREATE,"{'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'placement.rack': None}"
2018-03-09T19:04:05,86123045.0,6787c6e41105e6aa5ae524b58975a8a0,CREATE,"{'placement.rack': 2, 'node_type': 'compute'}"
2020-02-28T20:13:42,148421622.0,6787c6e41105e6aa5ae524b58975a8a0,UPDATE,"{'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '240057409536', 'main_memory.ram_size': '205084688384', 'placement.rack': 2, 'architecture.smp_size': '2', 'node_type': 'gpu_rtx_6000', 'architecture.smt_size': '48'}"
2018-06-27T14:10:24,95609424.0,1c610f984db92cf73fe962fcb2d4a434,CREATE,"{'node_type': 'compute_skylake', 'placement.rack': None}"
2018-08-29T15:25:18,101057118.0,1c610f984db92cf73fe962fcb2d4a434,UPDATE,"{'node_type': 'compute_skylake', 'architecture.platform_type': 'x86_64', 'placement.rack': 3, 'storage_devices.0.size': '240057409536', 'main_memory.ram_size': '205084688384', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}"
2018-06-27T14:13:16,95609596.0,6f6eb4e0b60a2152448b9b016702f088,CREATE,"{'node_type': 'compute_skylake', 'placement.rack': None}"
2020-02-28T20:13:42,148421622.0,6f6eb4e0b60a2152448b9b016702f088,UPDATE,"{'placement.rack': 3, 'node_type': 'fpga', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'storage_devices.0.size': '240057409536', 'main_memory.ram_size': '205084688384', 'architecture.platform_type': 'x86_64'}"
2015-06-17T22:50:17,82217.0,4e80613235797f1533eeeaf83cf0f504,CREATE,"{'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': None}"
2018-03-09T19:03:31,86123011.0,3a8f00459c7e822805cf105931097d51,CREATE,"{'node_type': 'compute', 'placement.rack': 2}"
2020-02-28T20:13:42,148421622.0,3a8f00459c7e822805cf105931097d51,UPDATE,"{'architecture.platform_type': 'x86_64', 'node_type': 'gpu_rtx_6000', 'storage_devices.0.size': '240057409536', 'main_memory.ram_size': '205084688384', 'placement.rack': 2, 'architecture.smp_size': '2', 'architecture.smt_size': '48'}"
2015-08-25T19:57:47,6033467.0,2d452d215b92392a1f501805682253d4,CREATE,"{'main_memory.ram_size': '67445407744', 'architecture.smp_size': '2', 'storage_devices.0.size': '2000398934016', 'architecture.smt_size': '40', 'architecture.platform_type': 'x86_64', 'placement.rack': None}"
2015-06-17T22:50:35,82235.0,f02bbf70b1d639de045a11830636576a,CREATE,"{'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'placement.rack': None}"
2018-03-09T19:03:51,86123031.0,ed95ff5654ef2c9f706415a673361620,CREATE,"{'node_type': 'compute', 'placement.rack': 2}"
2020-02-28T20:13:44,148421624.0,ed95ff5654ef2c9f706415a673361620,UPDATE,"{'main_memory.ram_size': '205084688384', 'storage_devices.0.size': '240057409536', 'node_type': 'gpu_rtx_6000', 'architecture.smt_size': '48', 'placement.rack': 2, 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}"
2018-03-09T19:04:40,86123080.0,03e52f6b70a9ae189291e7feda1029da,CREATE,"{'placement.rack': 2, 'node_type': 'compute'}"
2020-02-28T20:13:45,148421625.0,03e52f6b70a9ae189291e7feda1029da,UPDATE,"{'placement.rack': 2, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'gpu_rtx_6000', 'storage_devices.0.size': '240057409536', 'main_memory.ram_size': '205084688384'}"
2015-06-17T22:50:54,82254.0,18703b6949944cdf2db4bb0c33e955a7,CREATE,"{'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392', 'placement.rack': None}"
2018-06-27T14:08:18,95609298.0,0ac69373e794a82b8d5305191a235e3c,CREATE,"{'node_type': 'compute_skylake', 'placement.rack': None}"
2020-02-28T20:13:45,148421625.0,0ac69373e794a82b8d5305191a235e3c,UPDATE,"{'main_memory.ram_size': '205084688384', 'node_type': 'gpu_rtx_6000', 'architecture.smt_size': '48', 'storage_devices.0.size': '240057409536', 'placement.rack': 3, 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}"
2015-06-17T22:51:12,82272.0,e00dc720320c55fc78702e404ecfd331,CREATE,"{'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'placement.rack': None}"
2015-06-17T22:51:31,82291.0,6a57e3979507765607fbdabb224bb5fa,CREATE,"{'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'main_memory.ram_size': '134956859392', 'placement.rack': None}"
2015-06-17T22:51:49,82309.0,765499e152b096d538d9f2a68e388048,CREATE,"{'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'placement.rack': None}"
2015-06-17T22:52:08,82328.0,1572f1a816b676e1b3dc4f6ba0b93f6a,CREATE,"{'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'placement.rack': None}"
2015-11-25T13:37:20,13959440.0,1af66589afdb043554150b87affd66b7,CREATE,"{'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'placement.rack': None}"
2018-03-09T19:04:21,86123061.0,5300e01e07874e76be3d03079becb3eb,CREATE,"{'placement.rack': 2, 'node_type': 'compute'}"
2020-02-28T20:13:46,148421626.0,5300e01e07874e76be3d03079becb3eb,UPDATE,"{'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '240057409536', 'main_memory.ram_size': '205084688384', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 2, 'node_type': 'gpu_rtx_6000'}"
2015-06-17T22:52:28,82348.0,fc4af1e05dd5fb93dd5e87e3ea562ec0,CREATE,"{'architecture.smp_size': '2', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956949504', 'storage_devices.0.size': '250059350016', 'placement.rack': None}"
2015-06-17T22:52:47,82367.0,1299c0f5a067b826291110733f798397,CREATE,"{'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': None}"
2018-03-09T19:03:34,86123014.0,f5ee663b9a69ecc443ef7800d3d1f409,CREATE,"{'node_type': 'compute', 'placement.rack': 2}"
2020-02-28T20:13:47,148421627.0,f5ee663b9a69ecc443ef7800d3d1f409,UPDATE,"{'architecture.smp_size': '2', 'main_memory.ram_size': '205084688384', 'node_type': 'gpu_rtx_6000', 'architecture.smt_size': '48', 'placement.rack': 2, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '240057409536'}"
2015-08-25T19:56:35,6033395.0,5c25a902337d748301cfd26f7fc0f773,CREATE,"{'architecture.smp_size': '2', 'architecture.smt_size': '40', 'main_memory.ram_size': '67445407744', 'storage_devices.0.size': '2000398934016', 'architecture.platform_type': 'x86_64', 'placement.rack': None}"
2015-06-17T22:53:05,82385.0,c45e912fb586ef04ab0b9dbf0f90145c,CREATE,"{'architecture.smt_size': '48', 'main_memory.ram_size': '134956949504', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'placement.rack': None}"
2015-06-17T22:53:23,82403.0,4b5177c07c87b53b7209cfa234e23648,CREATE,"{'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'placement.rack': None}"
2015-06-17T22:53:42,82422.0,7fae9c9afa7d04c0331e1f269c9035ac,CREATE,"{'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'placement.rack': None}"
2015-08-25T19:55:47,6033347.0,b65b8c25d87744593223862015f6786e,CREATE,"{'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '67445407744', 'storage_devices.0.size': '2000398934016', 'architecture.smt_size': '40', 'placement.rack': None}"
2015-06-17T22:54:01,82441.0,3edfdac84f60e1e3e62f03b97523e41d,CREATE,"{'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'placement.rack': None}"
2018-03-09T19:03:41,86123021.0,a2ceea0862adec4fbf8054649e86f3fa,CREATE,"{'placement.rack': 2, 'node_type': 'compute'}"
2020-03-18T18:37:17,150057437.0,a2ceea0862adec4fbf8054649e86f3fa,UPDATE,"{'architecture.platform_type': 'x86_64', 'placement.rack': 2, 'architecture.smt_size': '48', 'node_type': 'gpu_rtx_6000', 'architecture.smp_size': '2', 'storage_devices.0.size': '240057409536', 'main_memory.ram_size': '205084688384'}"
2015-06-17T22:54:20,82460.0,894d5fc6d847eda12263947ee656c7d1,CREATE,"{'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'placement.rack': None}"
2015-06-17T22:54:39,82479.0,9d838ac0f03bc903e1acdedff10c3f48,CREATE,"{'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48', 'placement.rack': None}"
2015-06-17T22:54:57,82497.0,3139dce1506d1fe63b2edff7be0c6a44,CREATE,"{'architecture.smt_size': '48', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'placement.rack': None}"
2018-06-27T14:10:55,95609455.0,9aa0ce6a41a864895706c6f284728b00,CREATE,"{'node_type': 'compute_skylake', 'placement.rack': None}"
