lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type,action,trace_time
5092a16d759acc11354b4d0fbaf115eb,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2018-03-14 22:30:17,2018-03-14 22:31:11,2018-03-14 22:31:00,2018-03-14 23:31:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-14 23:31:00
c06218089a55c9741cad528ab70a69dd,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 00:02:18,2018-03-15 00:03:25,2018-03-15 00:03:00,2018-03-15 01:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-15 00:03:00
c06218089a55c9741cad528ab70a69dd,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 00:02:18,2018-03-15 00:03:25,2018-03-15 00:03:00,2018-03-15 01:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-15 01:03:00
4cc3b4d6e692db679a28578e5339172d,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 03:02:18,2018-03-15 03:03:25,2018-03-15 03:03:00,2018-03-15 04:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-15 03:03:00
4cc3b4d6e692db679a28578e5339172d,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 03:02:18,2018-03-15 03:03:25,2018-03-15 03:03:00,2018-03-15 04:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-15 04:03:00
adaa2ad846709049bbc5d8cd40c1e375,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 06:02:37,2018-03-15 06:03:26,2018-03-15 06:03:00,2018-03-15 07:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-15 06:03:00
adaa2ad846709049bbc5d8cd40c1e375,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 06:02:37,2018-03-15 06:03:26,2018-03-15 06:03:00,2018-03-15 07:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-15 07:03:00
33880bee2253054564784c7f816fddc8,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 09:02:21,2018-03-15 09:03:18,2018-03-15 09:03:00,2018-03-15 10:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-15 09:03:00
33880bee2253054564784c7f816fddc8,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 09:02:21,2018-03-15 09:03:18,2018-03-15 09:03:00,2018-03-15 10:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-15 10:03:00
febb42dd11ff05674b55c3d57074dce3,a956639e292fd1679669a9507e4cd0c9,158b002b8fb423e2975fbe2f9d9f2c3a,2018-03-14 11:41:46,2018-03-14 16:43:00,2018-03-14 11:42:00,2018-03-15 11:41:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell,stop,2018-03-15 11:41:00
f722121e7692ea9e8bdbeaefda2f158d,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 12:02:16,2018-03-15 12:03:23,2018-03-15 12:03:00,2018-03-15 13:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-15 12:03:00
f722121e7692ea9e8bdbeaefda2f158d,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 12:02:16,2018-03-15 12:03:23,2018-03-15 12:03:00,2018-03-15 13:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-15 13:03:00
083b8a64b00ac0d483bbeb29cfc4a3cf,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 15:02:14,2018-03-15 15:03:21,2018-03-15 15:03:00,2018-03-15 16:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-15 15:03:00
083b8a64b00ac0d483bbeb29cfc4a3cf,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 15:02:14,2018-03-15 15:03:21,2018-03-15 15:03:00,2018-03-15 16:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-15 16:03:00
dedb0250597f013619066e29e7bfdf60,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 16:55:59,2018-03-15 17:08:51,2018-03-15 16:56:00,2018-03-15 17:25:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-15 16:56:00
dedb0250597f013619066e29e7bfdf60,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 16:55:59,2018-03-15 17:08:51,2018-03-15 16:56:00,2018-03-15 17:25:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-15 17:25:00
233eae66a6630015f2ddd11c4d34c45e,b519049daa0f6e72084b235ed0f6d8ed,b40f91fc9c93152f3fd696823e0f118d,2018-03-14 17:27:58,2018-03-14 17:31:13,2018-03-14 17:28:00,2018-03-15 17:27:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell,stop,2018-03-15 17:27:00
cfc4f520b912b8139b5600e427c72afe,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 18:02:17,2018-03-15 18:03:23,2018-03-15 18:03:00,2018-03-15 19:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-15 18:03:00
cfc4f520b912b8139b5600e427c72afe,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 18:02:17,2018-03-15 18:03:23,2018-03-15 18:03:00,2018-03-15 19:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-15 19:03:00
bd18e20dda7ba4c0cf478a80481f55ec,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2018-03-15 19:37:36,2018-03-15 19:38:32,2018-03-15 19:38:00,2018-03-15 20:38:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-15 19:38:00
bd18e20dda7ba4c0cf478a80481f55ec,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2018-03-15 19:37:36,2018-03-15 19:38:32,2018-03-15 19:38:00,2018-03-15 20:38:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-15 20:38:00
bad335a386a76386978b970f69a58625,d79a64ad06b4569c01b79595b62207fb,f67cc3ad2f80c60c3352b40bacac7bf9,2018-03-15 20:37:42,2018-03-15 20:38:32,2018-03-15 20:38:00,2018-03-15 22:38:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-15 20:38:00
33e91181bf35ffaa8ee6c9c376e43bc5,d79a64ad06b4569c01b79595b62207fb,f67cc3ad2f80c60c3352b40bacac7bf9,2018-03-15 20:41:44,2018-03-15 20:58:25,2018-03-15 20:42:00,2018-03-15 22:42:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-15 20:42:00
724fb805ee950698422a8d08d838742c,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 21:02:20,2018-03-15 21:03:27,2018-03-15 21:03:00,2018-03-15 22:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-15 21:03:00
199f5fa422da12d0f43a3931a45c6610,d79a64ad06b4569c01b79595b62207fb,f67cc3ad2f80c60c3352b40bacac7bf9,2018-03-15 21:32:56,2018-03-15 21:49:17,2018-03-15 21:34:00,2018-03-15 22:34:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-15 21:34:00
4f17b9ef71705e0aa2de061080a9b54a,c3d8104ab30dae88b9bc52fee39e99e4,88afa6d94506398c87fb78389a97d6ee,2018-03-15 21:35:02,2018-03-15 21:43:48,2018-03-15 21:36:00,2018-03-16 04:59:00,active,3,"[""=="",""$node_type"",""compute_haswell""]",3-3,compute_haswell,start,2018-03-15 21:36:00
724fb805ee950698422a8d08d838742c,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 21:02:20,2018-03-15 21:03:27,2018-03-15 21:03:00,2018-03-15 22:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-15 22:03:00
b88245dd318f10907d5db3f7a7262808,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2018-03-15 22:30:16,2018-03-15 22:31:09,2018-03-15 22:31:00,2018-03-15 23:31:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-15 22:31:00
199f5fa422da12d0f43a3931a45c6610,d79a64ad06b4569c01b79595b62207fb,f67cc3ad2f80c60c3352b40bacac7bf9,2018-03-15 21:32:56,2018-03-15 21:49:17,2018-03-15 21:34:00,2018-03-15 22:34:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-15 22:34:00
bad335a386a76386978b970f69a58625,d79a64ad06b4569c01b79595b62207fb,f67cc3ad2f80c60c3352b40bacac7bf9,2018-03-15 20:37:42,2018-03-15 20:38:32,2018-03-15 20:38:00,2018-03-15 22:38:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-15 22:38:00
33e91181bf35ffaa8ee6c9c376e43bc5,d79a64ad06b4569c01b79595b62207fb,f67cc3ad2f80c60c3352b40bacac7bf9,2018-03-15 20:41:44,2018-03-15 20:58:25,2018-03-15 20:42:00,2018-03-15 22:42:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-15 22:42:00
b88245dd318f10907d5db3f7a7262808,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2018-03-15 22:30:16,2018-03-15 22:31:09,2018-03-15 22:31:00,2018-03-15 23:31:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-15 23:31:00
2405c3dc6bce366b553632ab000cbd94,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 00:02:20,2018-03-16 00:03:16,2018-03-16 00:03:00,2018-03-16 01:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-16 00:03:00
2405c3dc6bce366b553632ab000cbd94,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 00:02:20,2018-03-16 00:03:16,2018-03-16 00:03:00,2018-03-16 01:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-16 01:03:00
